car_id,lane,change_in_velocity,initial_velocity,final_velocity,ahead_distance,label,time_to_destination
4,0,0.0,5.0,5.0,24,Maintain,0.8459999999999999
5,1,0.5,2.3307300000000013,1.8307300000000013,10,Slow down,0.7429999999999999
6,0,-0.09999999999999964,4.388275000000001,4.488275000000001,88,Accelerate,0.6579999999999999
7,2,0.0,5.0,5.0,60,Maintain,0.6419999999999999
8,2,0.0,5.0,5.0,35,Maintain,0.355
9,1,-0.09999999999999998,0.6163399999999997,0.7163399999999996,45,Accelerate,0.32099999999999973
10,0,0.0,5.0,5.0,27,Maintain,0.11699999999999999
11,2,0.0,5.0,5.0,25,Maintain,0.10099999999999998
3,1,-0.09999999999999998,0.7999999999999999,0.8999999999999999,113,Accelerate,0.9480000000000002
4,0,0.0,5.0,5.0,21,Maintain,0.8630000000000002
5,1,0.5995550000000001,1.8307300000000013,1.2311750000000012,9,Slow down,0.7600000000000002
6,0,-0.09999999999999964,4.488275000000001,4.588275,89,Accelerate,0.6750000000000003
7,2,0.0,5.0,5.0,60,Maintain,0.6590000000000003
8,2,0.0,5.0,5.0,35,Maintain,0.37200000000000033
9,1,-0.09999999999999998,0.7163399999999996,0.8163399999999996,46,Accelerate,0.3380000000000001
10,0,0.0,5.0,5.0,26,Maintain,0.13400000000000034
11,2,0.0,5.0,5.0,25,Maintain,0.11800000000000033
3,1,-0.09999999999999998,0.8999999999999999,0.9999999999999999,117,Accelerate,0.966
4,0,0.02287999999999979,5.0,4.97712,18,Slow down,0.881
5,1,0.5995550000000001,1.2311750000000012,0.6316200000000012,9,Slow down,0.778
6,0,-0.09999999999999964,4.588275,4.688275,89,Accelerate,0.6930000000000001
7,2,0.0,5.0,5.0,60,Maintain,0.677
8,2,0.0,5.0,5.0,35,Maintain,0.3900000000000001
9,1,-0.09999999999999998,0.8163399999999996,0.9163399999999996,46,Accelerate,0.35599999999999987
10,0,0.0,5.0,5.0,26,Maintain,0.15200000000000014
11,2,0.0,5.0,5.0,25,Maintain,0.13600000000000012
3,1,-0.09999999999999998,0.9999999999999999,1.0999999999999999,121,Accelerate,0.9829999999999999
4,0,0.13437500000000036,4.97712,4.842745,15,Slow down,0.8979999999999999
5,1,0.5316200000000012,0.6316200000000012,0.1,9,Slow down,0.7949999999999999
6,0,-0.09999999999999964,4.688275,4.788275,89,Accelerate,0.71
7,2,0.0,5.0,5.0,60,Maintain,0.694
8,2,0.0,5.0,5.0,35,Maintain,0.40700000000000003
9,1,-0.09999999999999998,0.9163399999999996,1.0163399999999996,46,Accelerate,0.3729999999999998
10,0,0.0,5.0,5.0,26,Maintain,0.16900000000000004
11,2,0.0,5.0,5.0,25,Maintain,0.15300000000000002
3,1,-0.10000000000000009,1.0999999999999999,1.2,125,Accelerate,0.9989999999999999
4,0,0.25455499999999986,4.842745,4.58819,13,Slow down,0.9139999999999999
5,1,0.0,0.1,0.1,10,Maintain,0.8119999999999998
6,0,-0.09999999999999964,4.788275,4.888274999999999,89,Accelerate,0.7269999999999999
7,2,0.0,5.0,5.0,60,Maintain,0.7109999999999999
8,2,0.0,5.0,5.0,35,Maintain,0.42399999999999993
9,1,-0.10000000000000009,1.0163399999999996,1.1163399999999997,45,Accelerate,0.3899999999999997
10,0,0.0,5.0,5.0,26,Maintain,0.18599999999999994
11,2,0.0,5.0,5.0,25,Maintain,0.16999999999999993
3,1,-0.10000000000000009,1.2,1.3,129,Accelerate,1.0159999999999998
4,0,0.40945500000000035,4.58819,4.178735,11,Slow down,0.9309999999999998
5,1,0.0,0.1,0.1,11,Maintain,0.8279999999999998
6,0,-0.09999999999999964,4.888274999999999,4.988274999999999,89,Accelerate,0.7429999999999999
7,2,0.0,5.0,5.0,60,Maintain,0.7269999999999999
8,2,0.0,5.0,5.0,35,Maintain,0.43999999999999995
9,1,-0.10000000000000009,1.1163399999999997,1.2163399999999998,44,Accelerate,0.4059999999999997
10,0,0.0,5.0,5.0,26,Maintain,0.20199999999999996
11,2,0.0,5.0,5.0,25,Maintain,0.18599999999999994
3,1,-0.10000000000000009,1.3,1.4000000000000001,133,Accelerate,1.0330000000000001
4,0,0.5,4.178735,3.6787349999999996,10,Slow down,0.9480000000000002
5,1,0.0,0.1,0.1,12,Maintain,0.8450000000000002
6,0,-0.011725000000001096,4.988274999999999,5.0,88,Accelerate,0.7600000000000002
7,2,0.0,5.0,5.0,60,Maintain,0.7440000000000002
8,2,0.0,5.0,5.0,35,Maintain,0.4570000000000003
9,1,-0.10000000000000009,1.2163399999999998,1.3163399999999998,43,Accelerate,0.42300000000000004
10,0,0.0,5.0,5.0,26,Maintain,0.2190000000000003
11,2,0.0,5.0,5.0,25,Maintain,0.2030000000000003
3,1,-0.10000000000000009,1.4000000000000001,1.5000000000000002,137,Accelerate,1.05
4,0,0.5995550000000001,3.6787349999999996,3.0791799999999996,9,Slow down,0.9650000000000001
5,1,0.0,0.1,0.1,13,Maintain,0.8620000000000001
6,0,0.0,5.0,5.0,87,Maintain,0.7770000000000001
7,2,0.0,5.0,5.0,60,Maintain,0.7610000000000001
8,2,0.0,5.0,5.0,35,Maintain,0.4740000000000002
9,1,-0.10000000000000009,1.3163399999999998,1.41634,42,Accelerate,0.43999999999999995
10,0,0.0,5.0,5.0,26,Maintain,0.2360000000000002
11,2,0.0,5.0,5.0,25,Maintain,0.2200000000000002
3,1,-0.10000000000000009,1.5000000000000002,1.6000000000000003,141,Accelerate,1.0679999999999998
4,0,0.5995550000000001,3.0791799999999996,2.4796249999999995,9,Slow down,0.9829999999999999
5,1,0.0,0.1,0.1,14,Maintain,0.8799999999999999
6,0,0.0,5.0,5.0,85,Maintain,0.7949999999999999
7,2,0.0,5.0,5.0,60,Maintain,0.7789999999999999
8,2,0.0,5.0,5.0,35,Maintain,0.492
9,1,-0.10000000000000009,1.41634,1.51634,41,Accelerate,0.45799999999999974
10,0,0.0,5.0,5.0,26,Maintain,0.254
11,2,0.0,5.0,5.0,25,Maintain,0.238
3,1,-0.10000000000000009,1.6000000000000003,1.7000000000000004,144,Accelerate,1.0839999999999999
4,0,0.5,2.4796249999999995,1.9796249999999995,10,Slow down,0.9989999999999999
5,1,0.0,0.1,0.1,16,Maintain,0.8959999999999999
6,0,0.0,5.0,5.0,82,Maintain,0.8109999999999999
7,2,0.0,5.0,5.0,60,Maintain,0.7949999999999999
8,2,0.0,5.0,5.0,35,Maintain,0.508
9,1,-0.10000000000000009,1.51634,1.61634,39,Accelerate,0.47399999999999975
10,0,0.0,5.0,5.0,26,Maintain,0.27
11,2,0.0,5.0,5.0,25,Maintain,0.254
3,1,-0.10000000000000009,1.7000000000000004,1.8000000000000005,147,Accelerate,1.1010000000000002
4,0,0.4094549999999999,1.9796249999999995,1.5701699999999996,11,Slow down,1.0160000000000002
5,1,0.0,0.1,0.1,18,Maintain,0.9130000000000003
6,0,0.0,5.0,5.0,79,Maintain,0.8280000000000003
7,2,0.0,5.0,5.0,60,Maintain,0.8120000000000003
8,2,0.0,5.0,5.0,35,Maintain,0.5250000000000004
9,1,-0.10000000000000009,1.61634,1.7163400000000002,37,Accelerate,0.4910000000000001
10,0,0.0,5.0,5.0,26,Maintain,0.28700000000000037
11,2,0.0,5.0,5.0,25,Maintain,0.27100000000000035
3,1,-0.10000000000000009,1.8000000000000005,1.9000000000000006,150,Accelerate,1.118
